Name,Latitude,Longitude,Elevation [Feet],Turnpoint,ID[6],Comments,ICAO Identifier
Alnwick Moor SW,55.34985,-1.8463167,653,A697/B6341,Alnwic,"Crossroads between Rothbury and Alnwick, E of large wood. Easy to find and on chart.",
Alston,54.8096,-2.44245,885,A689 Br over R South Tyne,Alston,"SW side of village. Caution, rugged terrain. Easy to find and on chart.",
Aberlour,57.4703667,-3.2319167,335,Spey Bridge,Aberlr,"Footbridge (only bridge) over River Spey, SW side of town. 10 NMl S of Elgin. Easy to find but not on chart.",
Alfreton South,53.0579167,-1.4174667,236,A38/A610,Alfret,Roundabout 2.5 NMl SSW of town. Easy to find and on chart.,
Alton,51.1511833,-0.9675333,479,Station Bridge W,Alton,"Rail Br over B3004, W side of stn, nr town centre. Difficult to find.",
Alva,56.1527667,-3.7986,102,A91/B908,Alva,T junction in town centre. Difficult to find.,
Alton Southwest,51.1321833,-0.9948167,551,A31/A32 r'bt,AltnSt,"Furthest SW roundabout SW of town, W of Chawton village. Easy to find and on chart.",
Alyth,56.6165333,-3.2117833,295,A926/B954,Alyth,Roundabout 1 NMl SE of town. Easy to find and on chart.,
Amberley,50.8969333,-0.5423,151,Rail/B2139,Amberl,3 NMl SW of Parham [Southdown GC Gliding Site]. Easy to find and on chart.,
Ambleside,54.4265667,-2.9691667,135,A593 Bridge,Amblsd,"Bridge over R Rydal SW edge of  town at N end of Lake Windermere.  Caution, rugged terrain. Easy to find and on chart.",
Amulree,56.5102,-3.78835,883,A822/River Br,Amulre,"Over R Braan, in village centre near sharp bend in A822 to N. Easy to find and on chart.",
Andover SW,51.2011,-1.5073167,249,A303/A343,AndvrS,"SW Edge of Town, A343 is Mid Wallop/Salisbury Rd. Easy to find and on chart.",
Andover SE,51.2004833,-1.4500667,410,A303/Andover bypass E,Andove,A303 over dual carriageway to N at Cow Down. Easy to find and on chart.,
Ansty Cross,50.8316667,-2.32875,530,Crossroads,AnstCr,"Triangular road junction between Lower & Higher Ansty, 6NMl W of Blandford Forum. Local knowledge required.",
Appleby,54.5878667,-2.499,525,Rail/A66,Appleb,Bridge NW side of town 18 NMl NNE of Kendal. Easy to find and on chart.,
Ardvasar,57.0647167,-5.8935833,10,Pier sea end,Ardvsr,"End of A851 NE of village.  In Armadale Bay, E coast of Skye. Easy to find but not on chart.",
Ardrishaig Lighthouse,56.0123,-5.4441,10,Lighthouse,Ardrsh,"End of pier E side of Ardrishaig, 2 NMl S of Lochgilphead town.  Caution, few landing areas. Easy to find and on chart.",
Arundel,50.8568833,-0.55505,125,Castle Keep,Arundl,"Circular keep, NE side of town.  3 NMl from coast, nr Bognor. Easy to find but not on chart.",
Ashbury,51.5638833,-1.6182333,374,B4000/B4507,Ashbur,"Main crossroads in village centre, 2.5 NMl SE of Shrivenham. Difficult to find.",
Ashford East,51.13715,0.9106667,400,M20 J10/A20,Ashfrd,1 NMl ESE of town. Easy to find and on chart.,
Ashbourne,53.00035,-1.6970333,574,A/F SE end R/W 32,Ashbrn,Minor road across R/W 32 at SE end. Difficult to find.,
Aspatria,54.75915,-3.3317333,164,Rail Station,Aspatr,S side of town. Easy to find and on chart.,
Ashford South,51.0682,0.85465,315,A2070/Rail Bridge,Ashfor,"SW side of Hamstreet Station, 4 NMl S of Ashford. Easy to find and on chart.",
Aston Down,51.7059667,-2.1319333,600,R/Ws 26/20,AstnDw,SW intersection at Cotswold GC site. Difficult to find.,
Airdrie Southwest,55.8412,-4.02455,151,A725 bridge over A8,ArdrSt,"At Old Monkland, S of VRP Coatbridge. TMA over at 2500 ft. TP intended for dog-leg between Glasgow and Edinburgh CTRs. Easy to find and on chart.",
Ashley,52.9197167,-2.3906667,640,A53/B502,Ashley,"W of 2 T junctions, W edge of town, 7 NMl SW of Stoke-on-Trent. Difficult to find.",
Atherstone,52.58035,-1.5539833,318,A5/Rail Bridge,Athrst,"NW edge of town, near canal. Easy to find and on chart.",
Attleborough,52.5213167,1.0106333,164,A11 Br over B1077,Attlbr,"N side of town, 10 NMl ENE of Thetford. Avoid Old Buckenham ATZ to the SE. Easy to find and on chart.",
Alton Towers,52.98055,-1.8945167,217,River/Road Bridge,AltnTw,Br over river Churnet between theme park & village. Difficult to find.,
Auldgirth,55.15915,-3.7077667,115,Bridge,Aldgrt,"A76 bridge over river Nith, between Thornhill and Dumfries. Easy to find and on chart.",
Avebury,51.4193167,-1.8747,335,A4/A361R'bout,Avebur,"1 NMl SW of village, 8 NMl W of Marlborough. Easy to find and on chart.",
Axminster,50.77985,-3.0044667,236,Station/Road Br,Axmnst,Road Br. over rwy N side of stn on SW side of town. Easy to find but not on chart.,
Aylesbury,51.8331667,-0.8629,289,A41/Rail Bridge,Aylsbr,Bridge over A41 2.5 NMl NW of town. Easy to find and on chart.,
Aysgarth,54.2953833,-1.95925,492,A684/B6160,Asgrth,Y-junction E of village just S of River Ure. 5 NMl W of Leyburn. Easy to find and on chart.,
Banbury W,52.0736167,-1.3944167,529,A422 T junct,BanbrW,"Centre of Wroxton village, A422 and road to N to Horley. Easy to find but not on chart.",
Banbury N,52.1210333,-1.3781167,360,M40 bridge,BanbrN,"Minor road to E to Mollington over M40, N of narrowing of central reservation. Difficult to find.",
Balallan,58.0863333,-6.6363333,15,T-Junction,Ballln,W side of Balallan village. Easy to find and on chart.,
Ballachulish Bridge,56.68805,-5.1821333,10,A82 Bridge over A828,Bllchl,S side of of bridge 0.5 NMl S of N Ballachulish village15 NMl NNE of Oban airfield. Easy to find and on chart.,
Backwater Reservoir,56.7169667,-3.2218667,984,Tower in water near Dam Wall,Bckwtr,W end dam wall near where road running on dam wall turns S. 5 NMl N of Alyth. Easy to find but not on chart.,
Badminton,51.5439333,-2.2804333,400,Church Tower,Bdmntn,E side of village 1 NMl SE of grass airfield. Difficult to find.,
Bath East,51.3978,-2.3230833,79,Road/Rail Bridge,Bath E,400m W of fork (lines divide to Salisbury & Swindon). Difficult to find.,
Balfron,56.0837333,-4.36915,46,A811/A81,Balfrn,"N of 2 T junctions, 1.5 NMl NW of town. CTR is 1.5 NMl to the S. Difficult to find.",
Bangor-on-Dee,53.0008333,-2.91145,121,A525/River Bridge,BngrnD,"Br over R. Dee, S edge of Bangor, 4NMl SE of Wrexham. Difficult to find.",
Barrhill,55.1015667,-4.7634333,20,A714/River Br,Brrhll,"Over river Duisk, SE side of village 14 NMl NE of Stranraer. Easy to find and on chart.",
Bakewell,53.21465,-1.6729333,394,Bridge,Bakwll,"Bridge over river Wye, NE side of town 10 NMl W of Chesterfield. Easy to find and on chart.",
Bala,52.913,-3.5937,548,A494/River Bridge,Bala,Br over River Trywi on NE side of town.  Poor fields. Easy to find and on chart.,
Bampton,50.9892667,-3.48435,360,River bridge,Bamptn,Bridge over river Batherm W side of town. Easy to find and on chart.,
Banbury,52.0725833,-1.3130667,308,M40 J11/A422,Banbur,1.5 NMl NE of town Centre. Easy to find and on chart.,
Barnard Castle,54.5425833,-1.9279333,492,River/A67 Bridge,BrnrdC,SE of town centre. Easy to find but not on chart.,
Basingstoke,51.2580333,-1.0648833,351,M3 Junction 6,Bsngst,"SE side of town, where M3 crosses over circular access road. Easy to find and on chart.",
Bath Racecourse SW,51.4130167,-2.414,705,View Point,BthRcc,"For ridge soaring. SW side of racecourse at top of S end of ridge running NE/SW. Use with care, look out for Bristol Airport traffic & avoid CTR base 2000 immediately to the W. Local knowledge required.",
Banchory West,57.05825,-2.5564167,262,Spiral Filter at Water Works,BnchrW,2 NMl W of Banchory where Burn of Canny joins River Dee.Avoids using BCY which is also a VRP for Aberdeen. CTA overhead at 3000ft. Local knowledge required.,
Boat O'Brig,57.5510833,-3.1407333,164,Spey Rail Bridge,BotBrg,"2.5 NMl NE of Rothes at Boat o'Brig, 8 NMl SE of Elgin. Easy to find and on chart.",
Bracken Bank,54.7477833,-2.7262833,560,Centre of grass runway,BrcknB,Edensoaring site1 NMl W of Lazonby. Local knowledge required.,
Bath Bridge,51.3809,-2.35545,105,E/W Bridge over R Avon 300m N of station,BthBrg,E side of town.  W of Bath Abbey between A4 toW and inner ring road to E.  VRP for Bristol traffic is nearby. Easy to find but not on chart.,
Bicester Airfield,51.9164167,-1.1314167,267,Airfield Centre,BcstrF,"Centre of grass airfield, radius used as finish area. Easy to find and on chart.",EGDD
Bicester NE,51.9203333,-1.0755833,380,Mast,BcstrN,"S side of Poundon Hill radio station 2NMl E of Bicester airfield, avoid airfield traffic. Local knowledge required.",
Bicester N,51.9475333,-1.1152833,360,A4421 T junction,Bicest,"A4421 and road to Fringford 2NMl N of Bicester airfield, avoid airfield traffic. Difficult to find.",
Bishop's Caundle,50.91245,-2.4171167,203,Bridge,BshpsC,"A3030 over river Caundle E side of village, 5 NMl SW of Henstridge Airfield. Easy to find and on chart.",
Banchory East,57.05335,-2.4556167,165,Road T junction,Banchr,"1 NMl E of town, S of R Dee, 500m E of Maryfield. Under SRA base 3000ft. Difficult to find.",
Bishop's Cleeve NW,51.9683833,-2.0334333,255,Road Bridge over minor Railway,Bishop,1NMl E of Gotherington village at Station on Glos & Warwicks railway.  Ridge TP under Cotswold Edge. Local knowledge required.,
Brechin,56.7235333,-2.6478667,164,A933/River Br,Brechn,"Over River Esk, S of town. Easy to find and on chart.",
Bishops Castle,52.48845,-2.9943333,571,A488/B4385,Bishos,"Crossroads SE side of village, 5 Nml W of Long Mynd. Easy to find but not on chart.",
Bishops Cleeve W,51.9502667,-2.0988833,108,Bridge,BishoC,Road Bridge over railway between Bishops Cleeve & Stoke Orchard. Difficult to find.,
Banchory,57.04735,-2.5007,262,B974/River Dee Bridge,Bancho,"S of town. Bridge is also used as a VRP for Aberdeen; alternative TP is STR, 3 NMl to the SW. CTA overhead at 3000ft. Easy to find and on chart.",
Bidford Finish E,52.13965,-1.8458,121,Airfield boundary E,Fin E,Near Gliding Clubhouse by old Roman Road Ryknild Street. Local knowledge required.,
Bidford Finish W,52.1356167,-1.85385,121,Airfield boundary W,Fin W,W end of field near ditch. Local knowledge required.,
Bodmin SE,50.45965,-4.6934833,295,A38 bridge over A30,BodmnS,"SE side of town, minor rail line just to S. Easy to find and on chart.",
Beadnell Harbour,55.5499333,-1.6267333,20,Pier,BdnllH,"W end of short pier N side of bay, S side of town. Easy to find but not on chart.",
Balado,56.2096833,-3.4617,328,Golfball aerial,Balado,"1 NMl W of M90 Junction 6 , 5 NMl WNW of Portmoak. Difficult to find.",
Bodelwyddan,53.2528,-3.5123167,335,Crossroads,Bdlwdd,"B5381 and minor road at Glascoed, S side of Bodelwyddan.  Bottom of ridge between Denbigh and Abergele. Difficult to find.",
Bardney,53.2079167,-0.3366,52,B1190/river bridge,Bardne,Bridge over River Witham 0.5 NMl SW of village. Easy to find and on chart.,
Beal,55.6776,-1.9034167,16,Level Crossing,Beal,Level Crossing on E coast main line. Easy to find and on chart.,
Beaminster,50.80755,-2.7379667,223,A3066/B3163,Bmnstr,"E of two T junctions, SE side of town near river. Difficult to find.",
Bedford Bridge,52.12975,-0.4774167,98,River/Rail Br,BdfrdB,"W of 2 rail br over River Great Ouse, near W of 2 rbts. Difficult to find.",
Beer Head W,50.6879667,-3.1064333,440,Bungalow,BerHdW,"On top of cliffs 1km W of Beer Head, SW of Seaton.  Avoid D012 military firing area to the E. Difficult to find.",
Bellingham,55.1430667,-2.2619667,387,A6320/River Bridge,Bllngh,River Tyne bridge SW of village. Difficult to find.,
Bembridge,50.6762333,-1.1043667,52,E end of only runway,Bmbrdg,Near B3395 E side of airfield with ATZ and light aircraft traffic.  Site of Vectis GC. Easy to find but not on chart.,EGHJ
Bentpath,55.2017,-3.0834333,420,R Esk bridge,Bntpth,Bridge in village 4 NMl NW of Langholm.  D510 to the E. Easy to find and on chart.,
Berwick W,55.7566167,-2.04135,50,A1/A698,BrwckW,"Roundabout just S of A1 Br over R Tweed, W side of Berwick-on-Tweed. Easy to find and on chart.",
St Bees Head,54.5136167,-3.6367167,322,Lighthouse,StBsHd,On promontary 3 NML SW of Whitehaven. Easy to find and on chart.,
Beattock,55.29565,-3.4443,328,A74/Rail,Bettck,1 NMl S of village. Easy to find and on chart.,
Beulah,52.1488,-3.5781,486,A483/B4358,Beulah,"T junction near village centre, 6 NMl W of Builth Wells. Difficult to find.",
Beverley,53.8429167,-0.4773667,66,A1079/A1035,Beverl,"Roundabout 1 NMl W of town, 0.5 NMl W of racecourse. Easy to find and on chart.",
Bewl Water,51.0771167,0.3978833,226,Tower near Dam wall,BwlWtr,N side of water towards A21. 3 NMl E of Wadhurst.  Under LTMA. Easy to find and on chart.,
Booker Finish SW,51.6062,-0.8089,489,Windsock,Fin SW,Opposite T Junction where Beacon Lane joins B482. Easy to find but not on chart.,EGTB
Booker Finish NW,51.6113,-0.8127,515,West of Runway 06/24,Fin NW,Between WP BOO and Compass Swing circle to the N. Local knowledge required.,EGTB
Belford,55.5950667,-1.8142167,138,A1/B1342,Belfrd,E side of Belford village. Easy to find and on chart.,
Banff,57.6629,-2.5130167,33,A98/River Br,Banff,Bridge over river Deveron on S side of Banff bay. Easy to find but not on chart.,
Biggar,55.6145167,-3.5387167,659,A72/A702,Biggar,SW side of town 9 NMl SSE of Lanark. Under TMA base 4000 ft. Easy to find and on chart.,
Brigg,53.5581167,-0.5037667,49,M180/Dyke,Brigg,Bridge over Weir Dyke NW side of town. Easy to find and on chart.,
Bangor SE,53.20485,-4.1065667,125,A55/A5,BangrS,Junction 11 between Bangor and Bethesda. Easy to find and on chart.,
Blairgowrie,56.592,-3.3347667,230,A93/River Bridge,Blrgwr,Bridge over river Ericht in town centre. Difficult to find.,
Bedlands Gate,54.57055,-2.67055,827,"Centre of field, Microlight site",Bdlnds,"2.5 NMl N of Shap on E side of Little Strickland village, use with caution (microlight activity). Local knowledge required.",
Basingstoke West,51.2553667,-1.19075,377,B3400/Rail bridge,Basing,"Rail bridge over B3400 NW side of Oakley village.  4 NMl W of centre of Basingstoke, 1 NMl W of rail Y junction. Easy to find and on chart.",
Bath North,51.4534167,-2.36925,679,A46/A420,Bath N,"Roundabout , 3 NMl W of Colerne A/F outside its ATZ. Easy to find and on chart.",
Bicester Rail Bridge,51.8994333,-1.1384,410,Rail/Rail Bridge,BcstrR,"E side of town, avoiding airfield circuit to NW.  Bridge is where London line crosses over Oxford line. Easy to find and on chart.",
Bicester Control Tower,51.9156,-1.1366333,267,Control Tower,BcstrC,"W side of grass airfield site of Windrushers GC, NE side of town. Easy to find and on chart.",EGDD
Bidford,52.1404667,-1.84755,121,Hangar,Bidfrd,"N side of grass A/F, Bidford Soaring Centre site. Local knowledge required.",
Bicester East,51.8770667,-1.09335,400,Rail br over A41,Bicstr,2 NMl ESE of town on road to Aylesbury. Easy to find and on chart.,
Broughton-in-Furness,54.2776,-3.2117,120,A595/A593,Brghtn,T junction in village centre. S of Lake District peaks and 9 NMl N of Lakes Club site. Easy to find and on chart.,
Biggleswade,52.0773167,-0.26105,98,A1/Rail Bridge,Bgglsw,Dual Carriageway br S of stn on S edge of town. Easy to find and on chart.,
Billinghay,53.0782833,-0.2738333,105,A153/B1189,Billin,"T juntion E side of village, RAF Coningsby 4 Ml to the E, avoid. Difficult to find.",
Biddenden,51.1147167,0.6434667,171,A262/A274,Bddndn,T jnction in village 3 NMl NNW of Tenterden. Difficult to find.,
Birdlip,51.8437333,-2.0953333,751,A417/A436/B4070,Birdlp,"Rbt at top of hill, avoids possible sea air in Severn valley. Easy to find and on chart.",
Bishop Auckland,54.6671167,-1.6833667,89,River Wear/A689,Bshpck,"N side of town, A689 goes to Crook. Easy to find and on chart.",
Bockleton,52.2495,-2.5977,719,Church Tower,Bckltn,"Church Tower in Hamlet. 10km East of Leominster, 7km S of Tenbury Wells. Local knowledge required.",
Brinkley Church,52.1676833,0.3812,360,Church tower,BrnklC,"E of B1061, 5NMl S of Newmarket. Look for and avoid Cambridge traffic. Outside Cambridge LoA radio zone, use as alternative to SMB. Local knowledge required.",
Blakehill Farm,51.6221833,-1.8891667,310,Concrete Plinth,Blkhll,"Centre of disused grass airfield. Plinth was for tall mast, now removed. Easy to find and on chart.",
Blandford,50.8535833,-2.1541,341,River/A354 Bridge,Blndfr,SE side of town. Easy to find and on chart.,
Blenheim N,51.8693167,-1.3783833,374,A44/B4437,BlnhmN,T junction 2NMl N of Blenheim Palace.  Avoid Oxford ATZ to SE. Easy to find and on chart.,
Blaenau Ffestiniog,52.99565,-3.94185,656,A470/A496,BlnFfs,"Roundabout in centre of town.  Caution, rugged terrain. Easy to find but not on chart.",
Ballinluig,56.6492,-3.67195,197,A827/River Bridge,Bllnlg,"Bridge over river Tummel, SW side of town. Easy to find and on chart.",
Balloch,56.0081,-4.5907167,49,Pier Land End,Ballch,"S end of Loch Lomond, 0.5 NMl N of Glasgow CTR. Local knowledge required.",
Blidworth,53.1201167,-1.0636833,230,A617/A614 R'bout,Bldwrt,"Roundabout 2 NMl NE of village, 9 NMl NNE of Nottingham. Easy to find and on chart.",
Blakeney Point,52.9732,0.9742,5,Building,BlknPn,Only building on S side of offshore nature conservation area on N Norfolk coast. Difficult to find.,
Blanchland,54.8470667,-2.054,825,B6306 bridge over river Derwent,Blnchl,"S side of village, W end of Derwent reservoir. Easy to find and on chart.",
Bolsover SW,53.1976833,-1.3229833,328,M1 J29,BlsvrS,"Centre of roundabout 2 NMl SSW of Bolsover, 5 NMl SE of Chesterfield. Easy to find and on chart.",
Blair Atholl,56.7713833,-3.8572167,492,Castle East,Blrthl,"Castle entrance on E side, 0.5 NMl NW of village. Local knowledge required.",
Barnsley S,53.4965333,-1.4748,410,M1 J36,BrnslS,M1/A61/A6195 roundabout 3 NMl S of Barnsley. Easy to find and on chart.,
Barnsley W,53.54905,-1.5157833,492,M1 J37,BrnslW,M1/A628 roundabout W side of Barnsley. 3500 base airspace 2 NMl to W. Easy to find and on chart.,
Bletchley,52.0009667,-0.7087667,299,Rail Bridge/A5,Bltchl,E of town near River Ouzel & Grand Union Canal.  Look for and avoid ILS and other traffic into Cranfield. Easy to find and on chart.,
Balmaha,56.0836667,-4.5487,49,Pier Lake End,Balmah,"E side of Loch Lomond, by B 837. Local knowledge required.",
Brynamman,51.8084333,-3.8686333,472,A4069 bridge,Brnmmn,Bridge over river Amman on S side of town. Easy to find but not on chart.,
Braemar East,57.0033167,-3.3430333,1050,A93/River Bridge,Braemr,"Over River Dee, 2 NMl E of town. Easy to find and on chart.",
Barmouth Station,52.7222,-4.0565333,26,Rail Station,BrmthS,400m NW of harbour. Easy to find and on chart.,
Bingham,52.9491167,-0.983,197,A46/A52,Binghm,"Roundabout W of village, S of Newton disused airfield. Easy to find and on chart.",
Brinkworth,51.5567667,-1.98255,280,Rail bridge,Brnkwr,"Minor road over rail, S side of village 4NMl NNE of Lyneham a/f. Easy to find but not on chart.",
Ben Nevis,56.7969,-5.0036,4406,Trig Point,BenNvs,"Cairn at top of highest point in the UK, 4406 ft spot height on air map. Caution, rugged terrain to S and E. Easy to find and on chart.",
Bicester North West,51.94845,-1.2052667,413,M40 J 10/ B 430,Bicese,"M40 bridge between 2 roundabouts, NE side of Ardley village.  3 NMl NNW of Bicester town. Easy to find and on chart.",
Booker SW,51.5730167,-0.8701333,164,Hambledon Church Tower,BokrSW,"Centre of small village N of R Thames, 3NMl SW of Booker Airfield, used as a control point for final glides into Booker to avoid power circuit. LTMA base 2500ft. Local knowledge required.",
Booker W,51.6066833,-0.8461833,490,Frieth Crossroads,BookrW,"E side of Frieth village, road to SE at crossroads goes to Marlow.  Remote start/finish point for Booker close to airfield circuit. Local knowledge required.",
Booker NW,51.61765,-0.8371,525,Lane End Church tower,BokrNW,1 NMl NW of airfield near B492 crossroads SW side of village.  Remote start/finish point for Booker close to airfield circuit. Local knowledge required.,
Turville Windmill,51.6165333,-0.8898,502,Windmill,TrvllW,"On hill N of Turville village 3 NMl W of Booker airfield, used as control point for final glides into Booker. Local knowledge required.",
Rockwell End,51.5865,-0.8531,450,Y junction,Rckwll,2 km S of Frieth Village.  Used by Booker to avoid the Power Circuit.  Avoid LTMA overhead at 2500ft. Local knowledge required.,
Bridge of Avon,57.4056,-3.3612333,591,A95 br.over River,BrgAvn,"Over River Avon, Between Dufftown & Grantown-on-Spey. Easy to find and on chart.",
Booker M40 Bridge,51.6270333,-0.85925,361,Small bridge over M40,BkrM40,"Bridge to Kensham Farm, E side of Cadmore End village, 2NMl NW of airfield, used as a start point, TMA at 4500ft, LTMA 2500 to E. Local knowledge required.",
Bridge of Cally,56.6467667,-3.4034,508,A93/River Br,BrgCll,"Over R. Ardle just S of A93/A924 T junct, 4 NW of Blairgowrie. Easy to find and on chart.",
Bodiam,51.0016333,0.5432333,184,Centre of Castle,Bodiam,Moated castle 3 NMl SSE of Hawkhurst. Difficult to find.,
Bridge of Gaur,56.6781333,-4.4484833,656,River/Road Bridge,BrgGar,"W end of Loch Rannoch, S of B846, N of Village. Difficult to find.",
Bootle,54.2785,-3.3713167,66,Bridge,Bootle,"A595 Bridge over river Annas S side of village, 5 NMl S of Ravenglass. Easy to find and on chart.",
Bodmin SW,50.4337167,-4.7749667,466,A30/A389,BdmnSW,"Roundabout at Innis Downs/Lanivet, 3 NMl SW of Bodmin.  Note westerly approach to St Mawgan 4 NMl to the SW. Easy to find and on chart.",
Boncath,52.0155167,-4.63555,663,A478/B4332,Boncth,Crossroads 1 NMl W of Boncath village between Cardigan and Crymych.  Avoid Aberporth danger area when active. Easy to find and on chart.,
Booker Airfield,51.6085333,-0.8155167,520,SW Corner/B482,BookrF,"Commercial airfield, much light aircraft traffic, site of Booker GC.  LTMA overhead at 2500ft.  Not recommended for use as a Turning Point. Local knowledge required.",EGTB
Boroughbridge,54.0853833,-1.3998167,108,A6055 Br. over A1,Brghbr,"S side of town, 4 NMl S of Dishforth airfield. Easy to find and on chart.",
Boston,52.97195,-0.05885,92,A52 Br. over dyke,Boston,"SW edge of town, 1 NMl E of Boston Airfield. Easy to find and on chart.",
Bottesford,52.9434333,-0.8002333,154,Church Spire,Bttsfr,Centre of village. Difficult to find.,
Bourne,52.76805,-0.3772833,154,A15/A151,Bourne,Town Centre. Difficult to find.,
Bovey Tracey,50.6283,-3.6895333,771,Reservoir Dam,BovTrc,"SW end of dam wall of Trenchford Reservoir, most S of 3 dams 2 NMl N of Bovey Tracey village. Difficult to find.",
Bourton-on-the-water,51.8867167,-1.7685,194,A429/River Bridge,Brtnnt,Bridge over River Windrush just W of village. Difficult to find.,
Bozeat,52.2218833,-0.6839167,154,Road Br over A 509,Bozeat,"W side of village, A509 runs N/S, bridge is E/W. Easy to find but not on chart.",
Barnstaple,51.0363333,-4.0395167,269,A377/Rail Br,Brnstp,"3 NMl SSE of town, 1 NMl SW of 630 ft spot height. Easy to find and on chart.",
Bridport,50.7329,-2.7503333,15,A35/A3066,Brdprt,Roundabout E side of town centre just E of bridge over R Asker. Easy to find but not on chart.,
Bognor Regis Gliding Club,50.8010167,-0.6594,10,Runway centre,BgnrRg,"Runway 20, NNE side of Bognor, between railway line E and golf course W. Easy to find but not on chart.",EGKC
Bognor Domes,50.7851,-0.6630333,40,Domes,BgnrDm,At Butlins Holiday Camp S side of town near sea front. Difficult to find.,
